key,doi,year,venue,citations,questions,ranks,title,abstract
doi:10.1086/303240,10.1086/303240,1999,American Naturalist,267,q5,q5:8:12.56,Spatial Scale of Population Synchrony: Environmental Correlation versus Dispersal and Density Regulation,"A stochastic model is developed to analyze the equilibrium spatial pattern of population synchrony, the correlation of temporal fluctuations in population density between localities. The expected population dynamics and the distribution of individual dispersal distance are homogeneous in space. Environmental stochasticity is caused by temporal fluctuations in the intrinsic rate of increase and/or carrying capacity of local populations that are correlated in space (but not time), the environmental correlation decreasing with distance. We analyze a linearized model for small fluctuations. Employing the standard deviation of a function in a given direction as a measure of scale, the spatial scale of population synchrony, lρ, is related to the spatial scales of environmental correlation, le, and individual dispersal, l, by the simple general formula $$l^{2}_{\rho }=l^{2}_{e}+ml^{2}/ \gamma $$ , where m is the individual dispersal rate and γ is the strength of population density regulation (or rate of return to equilibrium, $$\overline{r}$$ in the logistic model). Relative to environmental correlation (the Moran effect), the contribution of individual dispersal to the spatial scale of synchrony is magnified by the ratio of the individual dispersal rate to the strength of density regulation. Thus, even if the scale of individual dispersal is smaller than that of environmental correlation, dispersal can substantially increase the scale of population synchrony for weakly regulated po"
doi:10.1111/j.2007.0030-1299.16145.x,10.1111/j.2007.0030-1299.16145.x,2007,,16,q5,q5:93:8.28*,Spatial synchrony in red grouse population dynamics,"Red grouse Lagopus lagopus scoticus populations exhibit unstable dynamics that are often characterised by regular periodic fluctuations in abundance. Time‐series’ of grouse harvesting records collected from 287 management units (moors) across Scotland, England and Wales were analysed to investigate the broad scale patterns of synchrony in these fluctuations. Estimation of the spatial autocorrelation of grouse population dynamics across moors indicates relatively high levels of synchrony between populations on adjacent moors, but that this synchrony declines sharply with increasing inter‐moor distance. At distances of greater than 100 km, grouse population time‐series exhibit only weakly positive cross‐correlation coefficients. Twenty‐eight geographical, environmental and other candidate variables were examined to construct a general linear model to explain variation in local synchrony. Grouse moor productivity (average size of shooting bag), distance from the Atlantic coast moving in a north‐easterly direction, April and June temperatures, and June rainfall significantly increased the explanatory power of this model. An understanding of the processes underlying synchrony in red grouse population dynamics is a prerequisite to anticipating the effects of large‐scale environmental change on regional patterns of grouse distribution and abundance."
doi:10.1046/j.1439-0418.2003.00744.x,10.1046/j.1439-0418.2003.00744.x,2003,,10,q5,q5:97:8.24*,"The sugarcane borer Diatraea saccharalis (Fabr.) (Lep., Crambidae) and its parasitoids: a synchrony approach to spatial and temporal dynamics","Abstract: A data set on Diatraea saccharalis and its parasitoids, Cotesia flavipes and tachinid flies, was analysed at five spatial scales – sugarcane mill, region, intermediary, farm and zone – to determine the role of spatial scale in synchrony patterns, and on temporal population variability. To analyse synchrony patterns, only the three highest spatial scales were considered, but for temporal population variability, all spatial scales were adopted. The synchrony–distance relationship revealed complex spatial structures depending on both species and spatial scale. Temporal population variability [SD log( x + 1)] levels were highest at the smallest spatial scales although, in the majority of the cases, temporal variability was inversely dependent on sample size. All the species studied, with a few exceptions, presented spatial synchrony independent of spatial scale. The tachinid flies exhibited stronger synchrony dynamics than D. saccharalis and C. flavipes in all spatial scales with the latter displaying the weakest synchrony levels, except when mill spatial scales were compared. In some cases spatial synchrony may at first decay and then increase with distance, but the presence of such patterns can change depending on the spatial scale adopted."
doi:10.1111/j.1365-2656.2006.01195.x,10.1111/j.1365-2656.2006.01195.x,2007,Journal of Animal Ecology,93,q5,q5:9:12.45,The extended Moran effect and large-scale synchronous fluctuations in the size of great tit and blue tit populations.,"1. Synchronous fluctuations of geographically separated populations are in general explained by the Moran effect, i.e. a common influence on the local population dynamics of environmental variables that are correlated in space. Empirical support for such a Moran effect has been difficult to provide, mainly due to problems separating out effects of local population dynamics, demographic stochasticity and dispersal that also influence the spatial scaling of population processes. Here we generalize the Moran effect by decomposing the spatial autocorrelation function for fluctuations in the size of great tit Parus major and blue tit Cyanistes caeruleus populations into components due to spatial correlations in the environmental noise, local differences in the strength of density regulation and the effects of demographic stochasticity. 2. Differences between localities in the strength of density dependence and nonlinearity in the density regulation had a small effect on population synchrony, whereas demographic stochasticity reduced the effects of the spatial correlation in environmental noise on the spatial correlations in population size by 21.7% and 23.3% in the great tit and blue tit, respectively. 3. Different environmental variables, such as beech mast and climate, induce a common environmental forcing on the dynamics of central European great and blue tit populations. This generates synchronous fluctuations in the size of populations located several hundred kilometres apart"
doi:10.1046/j.1365-2656.2000.00414.x,10.1046/j.1365-2656.2000.00414.x,2000,Journal of Animal Ecology,3,q5 q8,q5:25:12.14 q8:20:8.14,Scale of density dependence as an alternative to local dispersal in spatial ecology,"Spatial population models have traditionally considered metapopulations, where the dynamics of local populations are linked by the dispersal of individuals (Kareiva 1990; Hanski & Simberloff 1997; Tilman, Lehman & Kareiva 1997). Such theoretical studies of metapopulations have predicted a variety of spatiotemporal patterns, including the formation of patch structure and travelling waves in homogeneous habitats (Hassell, Comins & May 1991). Evidence is emerging that suggests that these patterns may be important in real ecological systems (Rohani et al. 1997; Kaitala & Ranta 1998; Lambin et al. 1998). However, there are alternatives to dispersal when considering the processes that link neighbouring populations. In particular, elements of population regulation such as density dependence can act at scales greater than the scale of a single population. In this note I use well-known ecological models to show that density dependence acting at scales larger than a single population can have unexpected results. Patches and travelling waves can be produced when population regulation is influenced by the densities of neighbouring populations. Formation of these spatiotemporal structures requires either random configuration of initial cell states, low levels of diffusion from an introductory cell, or the presence of correlated habitat heterogeneity. The patterns produced in previous spatial models have involved particular concepts of populations and dispersal. Population densities of a s"
doi:10.3390/f5123169,10.3390/f5123169,2014,,18,q6,q6:11:10.29*,"Evaluating an Automated Approach for Monitoring Forest Disturbances in the Pacific Northwest from Logging, Fire and Insect Outbreaks with Landsat Time Series Data","Forests are the largest aboveground sink for atmospheric carbon (C), and understanding how they change through time is critical to reduce our C-cycle uncertainties. We investigated a strong decline in Normalized Difference Vegetation Index (NDVI) from 1982 to 1991 in Pacific Northwest forests, observed with the National Ocean and Atmospheric Administration’s (NOAA) series of Advanced Very High Resolution Radiometers (AVHRRs). To understand the causal factors of this decline, we evaluated an automated classification method developed for Landsat time series stacks (LTSS) to map forest change. This method included: (1) multiple disturbance index thresholds; and (2) a spectral trajectory-based image analysis with multiple confidence thresholds. We produced 48 maps and verified their accuracy with air photos, monitoring trends in burn severity data and insect aerial detection survey data. Area-based accuracy estimates for change in forest cover resulted in producer’s and user’s accuracies of 0.21 ± 0.06 to 0.38 ± 0.05 for insect disturbance, 0.23 ± 0.07 to 1 ± 0 for burned area and 0.74 ± 0.03 to 0.76 ± 0.03 for logging. We believe that accuracy was low for insect disturbance because air photo reference data were temporally sparse, hence missing some outbreaks, and the annual anniversary time step is not dense enough to track defoliation and progressive stand mortality. Producer’s and user’s accuracy for burned area was low due to the temporally abrupt nature of fire and harvest w"
doi:10.1088/1748-9326/ac7968,10.1088/1748-9326/ac7968,2022,Environmental Research Letters,9,q6,q6:12:10.23*,Dead again: predictions of repeat tree die-off under hotter droughts confirm mortality thresholds for a dryland conifer species,"Tree die-off, driven by extreme drought and exacerbated by a warming climate, is occurring rapidly across every wooded continent—threatening carbon sinks and other ecosystem services provided by forests and woodlands. Forecasting the spatial patterns of tree die-off in response to drought is a priority for the management and conservation of forested ecosystems under projected future hotter and drier climates. Several thresholds derived from drought-metrics have been proposed to predict mortality of Pinus edulis, a model tree species in many studies of drought-induced tree die-off. To improve future capacity to forecast tree mortality, we used a severe drought as a natural experiment. We compared the ability of existing mortality thresholds derived from four drought metrics (the Forest Drought Severity Index (FDSI), the Standardized Precipitation Evapotranspiration Index, and raw values of precipitation (PPT) and vapor pressure deficit, calculated using 4 km PRISM data) to predict areas of P. edulis die-off following an extreme drought in 2018 across the southwestern US. Using aerial detection surveys of tree mortality in combination with gridded climate data, we calculated the agreement between these four proposed thresholds and the presence and absence of regional-scale tree die-off using sensitivity, specificity, and the area under the curve (AUC). Overall, existing mortality thresholds tended to over predict the spatial extent of tree die-off across the landscape, yet some"
doi:10.1080/00049158.2013.799055,10.1080/00049158.2013.799055,2013,,9,q6,q6:13:10.23*,Aerial mapping canopy damage by the aphid Essigella californica in a Pinus radiata plantation in southern New South Wales: what are the challenges?,"Summary Surveying the location and level of damage by insect pests and diseases, such as canopy damage by the Monterey pine aphid, Essigella californica Essig (Hemiptera: Aphididae), a common defoliating pest of Pinus radiata, is now formally embedded in the management practices of most Australian softwood-growing companies. Aerial surveys, also known as aerial sketch-mapping, are a cost-effective means of mapping broad-scale canopy damage, but their accuracy is dependent on a range of factors including the spatial and temporal expression of symptoms associated with different damaging agents. For E. californica, the most distinctive symptom is yellowing (needle chlorosis) of the crown followed by defoliation of affected needles. The aim of this study was to compare canopy damage categories obtained by aerial sketch-mapping with mean crown damage estimates derived from a systematic, plot-based sampling scheme of a Pinus radiata plantation in Green Hills State Forest in southern New South Wales with a known history of E. californica infestations. We identified significant challenges to rating accurately the level of canopy damage from E. californica by aerial sketch-mapping. While the location of chlorotic crowns may be mapped reliably, our results suggest that it is much more difficult to visually resolve different levels of canopy damage within affected stands. Using an ‘incidence × severity’ damage rating score, only two classes of canopy damage were confidently separated (i"
doi:10.5849/wjaf.12-032,10.5849/wjaf.12-032,2013,,13,q6,q6:14:9.26,An Economic Assessment of Mountain Pine Beetle Timber Salvage in the West,"reduction treatments in the West (Barbour et al. 2008), to quantify the jobs and biomass production impacts of these treatments (Abt et al. 2011), and to evaluate whether wildfire hazard reduction treatments yield overall net benefits on timberlands of the West (Prestemon et al. 2012). Model The EBR model is a multiyear two-stage goal and spatial equilibrium program, and it was modified for this study to model the economic feasibility of salvage of dead timber on public and private lands in the West. Although details of the model, including its mathematical formulation, are provided in Prestemon et al. (2008, 2012), describing the modeling framework is important for understanding the current study. EBR can be run for a single year or multiple years, treating timberland (salvaging standing dead trees, in this study) each year according to a predefined set of objectives. After each simulated year, timber inventory data are updated, with the transition to the next year defined by stand growth, new mortality available for salvage, and the volumes removed in the previous year’s solution. The first stage of this revised version of the EBR model is a goal program that selects locations in the West to salvage timber by maximizing a goal-weighted sum of salvage volumes, subject to maximum and minimum harvest constraints, a feasible forest product market solution, and an assumed maximum amount of expenditures available to harvest and transport salvage timber to mills. The fundamental u"
doi:10.2737/pnw-gtr-940,10.2737/pnw-gtr-940,2016,,1,q6,q6:15:9.07,Characterizing a forest insect outbreak in Colorado by using MODIS NDVI phenology data and aerial detection survey data,"Forest disturbances are increasing in extent and intensity, annually altering the structure and function of affected systems across millions of acres. Land managers need rapid assessment tools that can be used to characterize disturbance events across space and to meet forest planning needs. Unlike vegetation management projects and wildfire events, which typically are well documented, there is often insufficient data on the extent and intensity of insect and disease outbreaks during periods between intensive inventories. This report describes a rapid assessment approach using normalized difference vegetation index (NDVI) data from the Moderate Resolution Imaging Spectroradiometer (MODIS) satellite sensor at a resolution of 250 m to survey within-year forest damage from insect outbreaks. We aggregated the mean biennial NDVI loss (ratio of NDVI values in the target year and NDVI values in the baseline year) for vegetation polygons (stands) in a study area within the Medicine Bow-Routt National Forest in north-central Colorado and classified these stands to produce tabular summaries of NDVI loss by stand species composition, canopy cover, and tree size. NDVI loss by species class corresponds well at the regional scale with trends in forest health aerial detection survey estimates of trees killed by damage agents. However, our results were confounded by drought response and scale/aggregation issues at the stand level. The methods presented here show promise and can be quickly ap"
doi:10.5281/zenodo.20498910,10.5281/zenodo.20498910,2026,Zenodo (CERN European Organization for Nuclear Research),0,q6,q6:16:9.0,Digital Mobile Sketch Mapping Forest Mortality from 2016 to 2023 on East Hawai'i Island,"Digital Mobile Sketch Mapping (DMSM) is a USDA Forest Service custom app with tablet hardware, software, and back end data support processes (ArcGIS Desktop Tools) that allow trained aerial surveyors, in light aircraft, and ground observers to record forest disturbances and their causal agents. Helicopter-based state-wide forest health surveys for ROD using Digital Mobile Sketch Mapping (DMSM) began in 2016 and are semiannually conducted by the Hawai‘i Island Department of Land and Natural Resources, Division of Forestry and Wildlife (DLNR DOFAW) and Big Island Invasive Species Committee (BIISC) as part of the annual Forest Health Monitoring (FHM) Program of the Forest Service, US Department of Agriculture. The DMSM survey protocol for Hawai‘i Island includes mapping fresh mortality (brown and red crowns) up to 1.6 km out from the helicopter track, though this can extend to 3.2 km with clear visibility and a surveyor’s knowledge of landmarks and geographic identifiers. Helicopter flightline track buffers were generated from recorded DMSM flight track data at widths of 1.6 km, 2.4 km, and 3.2 km to calculate flight coverage area. The maximum buffer distance was set to 3.2 km since accurate mortality identification beyond this distance is uncertain. The most conservative area extent was chosen for DMSM coverage area using the best fit buffer that encompassed the majority of mapped mortality each year. Mortality points were buffered based on tree quantity and converted to polygo"
doi:10.5281/zenodo.20498909,10.5281/zenodo.20498909,2026,Zenodo (CERN European Organization for Nuclear Research),0,q6,q6:17:9.0,Digital Mobile Sketch Mapping Forest Mortality from 2016 to 2023 on East Hawai'i Island,"Digital Mobile Sketch Mapping (DMSM) is a USDA Forest Service custom app with tablet hardware, software, and back end data support processes (ArcGIS Desktop Tools) that allow trained aerial surveyors, in light aircraft, and ground observers to record forest disturbances and their causal agents. Helicopter-based state-wide forest health surveys for ROD using Digital Mobile Sketch Mapping (DMSM) began in 2016 and are semiannually conducted by the Hawai‘i Island Department of Land and Natural Resources, Division of Forestry and Wildlife (DLNR DOFAW) and Big Island Invasive Species Committee (BIISC) as part of the annual Forest Health Monitoring (FHM) Program of the Forest Service, US Department of Agriculture. The DMSM survey protocol for Hawai‘i Island includes mapping fresh mortality (brown and red crowns) up to 1.6 km out from the helicopter track, though this can extend to 3.2 km with clear visibility and a surveyor’s knowledge of landmarks and geographic identifiers. Helicopter flightline track buffers were generated from recorded DMSM flight track data at widths of 1.6 km, 2.4 km, and 3.2 km to calculate flight coverage area. The maximum buffer distance was set to 3.2 km since accurate mortality identification beyond this distance is uncertain. The most conservative area extent was chosen for DMSM coverage area using the best fit buffer that encompassed the majority of mapped mortality each year. Mortality points were buffered based on tree quantity and converted to polygo"
doi:10.3390/s22197440,10.3390/s22197440,2022,Italian National Conference on Sensors,38,q6,q6:18:8.37,Detecting Pest-Infested Forest Damage through Multispectral Satellite Imagery and Improved UNet++,"Plant pests are the primary biological threats to agricultural and forestry production as well as forest ecosystem. Monitoring forest-pest damage via satellite images is crucial for the development of prevention and control strategies. Previous studies utilizing deep learning to monitor pest-infested damage in satellite imagery adopted RGB images, while multispectral imagery and vegetation indices were not used. Multispectral images and vegetation indices contain a wealth of useful information for detecting plant health, which can improve the precision of pest damage detection. The aim of the study is to further improve forest-pest infestation area segmentation by combining multispectral, vegetation indices and RGB information into deep learning. We also propose a new image segmentation method based on UNet++ with attention mechanism module for detecting forest damage induced by bark beetle and aspen leaf miner in Sentinel-2 images. The ResNeSt101 is used as the feature extraction backbone, and the attention mechanism scSE module is introduced in the decoding phase for improving the image segmentation results. We used Sentinel-2 imagery to produce a dataset based on forest health damage data gathered by the Ministry of Forests, Lands, Natural Resource Operations and Rural Development (FLNRORD) in British Columbia (BC), Canada, during aerial overview surveys (AOS) in 2020. The dataset contains the 11 original Sentinel-2 bands and 13 vegetation indices. The experimental results"
doi:10.1080/2150704x.2020.1828659,10.1080/2150704x.2020.1828659,2020,,4,q6,q6:20:8.16,"Forest insect defoliation and mortality classification using annual Landsat time series composites: a case study in northwestern Ontario, Canada","ABSTRACT Landsat satellite time series annual Best-Available-Pixel (BAP) composites for the period 1984–2017 of the Kenora Forest Management Unit in northwestern Ontario, Canada were sampled and stratified by forest stand conditions and aerial sketch map (ASM) compilations of mortality and defoliation. Pre- and post-disturbance multispectral image and textural data were classified using a logistic regression decision rule for spruce budworm (Choristoneura fumiferana), jackpine budworm (Choristoneura pinus pinus), and forest tent caterpillar (Malacosoma disstria). Overall classification accuracy of 79.6% was obtained in a 998 ha sample of 120 forest stands."
doi:10.25549/usctheses-c3-428759,10.25549/usctheses-c3-428759,2014,,3,q6,q6:21:8.14,Use of remotely sensed imagery to map sudden oak death (Phytophthora ramorum) in the Santa Cruz Mountains,"This project sought a method to map Sudden Oak Death distribution in the Santa Cruz Mountains of California, a coastal mountain range and one of the locations where this disease was first observed. The project researched a method to identify forest affected by SOD using 30 m multi?spectral Landsat satellite imagery to classify tree mortality at the canopy?level throughout the study area, and applied that method to a time series of data to show pattern of spread. A successful methodology would be of interest to scientists trying to identify areas which escaped disease contagion, environmentalists attempting to quantify damage, and land managers evaluating the health of their forests. The more we can learn about the disease, the more chance we have to prevent further spread and damage to existing wild lands. ? The primary data source for this research was springtime Landsat Climate Data Record surface reflectance data. Non?forest areas were masked out using data produced by the National Land Cover Database and supplemental land cover classification from the Landsat 2011 Climate Data Record image. Areas with other known causes of tree death, as identified by Fire and Resource Assessment Program fire perimeter polygons, and US Department of Agriculture Forest Health Monitoring Program Aerial Detection Survey polygons, were also masked out. Within the remaining forested study area, manually?created points were classified based on the land cover contained by the corresponding Lands"
doi:10.1109/igarss.2003.1293983,10.1109/igarss.2003.1293983,2003,IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477),1,q6,q6:22:8.07,Coarse resolution satellite mapping of insect-induced tree defoliation and mortality,"Insect-induced tree defoliation and the resulting growth and mortality losses represent a significant disturbance in many forested regions. Most defoliation surveys are produced using conventional aerial sketch mapping techniques supplemented by field inspection. Digital airborne and fine resolution (/spl les/ 100m) satellite imagery has been frequently used, with mixed results, to assess both the extent and severity of defoliation described by R. F. Nelson (1983), V. C. Radeloff (1999) and J. Heikkila et al. (2002). Coarse resolution (/spl sim/1-km) satellite imagery, with its greater frequency of observation and spatial coverage, could also prove useful for monitoring and mapping large-scale defoliation events. The purpose of this study was to assess the potential for using multi-temporal SPOT VEGETATION (VGT) imagery for monitoring insect defoliation and mapping subsequent tree mortality. VGT imagery was examined for a severe outbreak of hemlock looper (Lambdina fiscellaria) in Quebec, Canada, which defoliated and killed more than 400,000 ha of balsam fir in 1999. Multi-temporal change metrics described by J. S. Borak (2000) based on reflectance and vegetation indices were derived using 10-day VGT composites from 1998-2000. A multiple logistic regression model developed using the 1998-2000 metrics could classify forest mortality within a 500-by-700 km study area with a commission error of 33-60 percent and omission error of 0-33 percent, depending on if the reference surve"
doi:10.14288/1.0074962,10.14288/1.0074962,2009,cIRcle (University of British Columbia),1,q6,q6:23:8.07,Detection of mountain pine beetle infestations using Landsat TM Tasseled Cap transformations,"This study investigated the identification of probable mountain pine beetle (Dendroctonus ponderosae Hopk.) attacked sites using Tasseled Cap transformations namely, brightness, greenness and wetness, derived from Landsat-7 digital data in parts of Vanderhoof Forest District, in Prince George Forest Region, British Columbia. Lodgepole pine (Pinus contorta Dougl.) constitutes about 80 percent of the total forest vegetation in the study area. About 85 percent of lodgepole pine stands are greater than 60 years of age, and hence susceptible to mountain pine beetle attack. Landsat-7 ETM digital data (Bands'!, 2,3,4,5&amp;7), acquired on August 2, 1999 and September 12, 1999, were the primary remote sensing data source for the study. In addition, TRIM map sheets (1:20,000) derived road and river vectors, and 1:20,000 forest cover maps and a beetle infestation coverage maps of the area (prepared based on aerial sketch mapping and ground probes) were collateral data sources. Methodology consisted of: i) pre-processing of satellite data (atmospheric and geometric corrections), ii) computation of Tasseled Cap coefficients for the Landsat-7 data, since these were not available, iii) identification of mountain pine beetle attacked stands, and iv) accuracy assessment of attacked stands. Some of the major observations based on results obtained were: i) Tasseled Cap indices for infestations of more than 30 attacked trees / site (&lt; 0.09 ha in size) were found to vary in a relatively narro"
doi:10.1109/cinti67731.2025.11311796,10.1109/cinti67731.2025.11311796,2025,International Symposium on Computational Intelligence and Informatics,0,q6,q6:24:8.0,Integrating Human Perception and AI: A Random Forest Approach to Urban Safety,"The aim of our research was to investigate whether a machine learning model can be used to predict perceived safe and unsafe areas.The input data,related to Budapest,were derived from an ongoing study using a collective online sketch-mapping platform.A binomial test applied to the sketched polygons allowed for the classification of areas as significantly perceived safe or unsafe.These data,together with Sentinel-2 satellite imagery corresponding to the time interval of the geo-questionnaire survey,were used to train and classify a Random Forest model.The study demonstrates that Random Forest models can effectively detect perceived safety in urban areas using satellite imagery and user-generated fear perception data.Among the tested configurations,the model trained with 50 decision trees on $100 \%$ of the training data achieved the highest performance,reaching an overall accuracy of $98.8 \%$,precision values of 0.996 (safe) and 0.958 (unsafe),and a Kappa statistic of 0.964,indicating near-perfect agreement.While models trained on only $70 \%$ of the data showed lower recall for unsafe areas,a configuration tested on the full dataset still provided reliable results.These findings highlight the potential of integrating machine learning with satellite imagery in urban safety perception analysis-a novel approach not previously explored with fear-based user data."
doi:10.5683/sp3/xsylmu,10.5683/sp3/xsylmu,2026,Borealis,0,q6,q6:25:8.0,Modeling Bark Beetle Disturbances in Northwest British Columbia Through Remote Sensing,"Forest disturbances such as bark beetles are tracked in British Columbia, Canada, through Aerial Overview Surveys (AOS), allowing for forest and environmental management plans to account for them within the province. However, there are significant areas of forestland that do not have AOS regularly, which includes a large area in the northwest corner of the province, leaving a gap in the knowledge of previous occurrences of bark beetles. This study aimed to address this knowledge gap by isolating the spectral signature of bark beetles and using it to model historic bark beetle disturbances in this region. The process began by extracting the spectral signature of bark beetles through the use of vegetation indices derived from 2024 Landsat imagery and AOS datasets from forests near this area. Through this process, a random forest classifier was modeled, with the various indices assessed for their usefulness. Ultimately, a model was created with a 76% accuracy over the testing data, proving the extraction of the spectral signature of bark beetles. However, when the model was transferred to the study site, results were deemed unrealistic, with around 31% of forestland being flagged as having bark beetle disturbances for 2024. As such, the model was deemed to be not able to be transferred between locales, preventing processing of previous years. While large-scale temporal analysis was not practical, these results do tell us that past disturbances are likely able to be modeled throu"
doi:10.14288/1.0452220,10.14288/1.0452220,2026,Open Collections,0,q6,q6:26:8.0,Modeling Bark Beetle Disturbances in Northwest British Columbia Through Remote Sensing,"Forest disturbances such as bark beetles are tracked in British Columbia, Canada, through Aerial Overview Surveys (AOS), allowing for forest and environmental management plans to account for them within the province. However, there are significant areas of forestland that do not have AOS regularly, which includes a large area in the northwest corner of the province, leaving a gap in the knowledge of previous occurrences of bark beetles. This study aimed to address this knowledge gap by isolating the spectral signature of bark beetles and using it to model historic bark beetle disturbances in this region. The process began by extracting the spectral signature of bark beetles through the use of vegetation indices derived from 2024 Landsat imagery and AOS datasets from forests near this area. Through this process, a random forest classifier was modeled, with the various indices assessed for their usefulness. Ultimately, a model was created with a 76% accuracy over the testing data, proving the extraction of the spectral signature of bark beetles. However, when the model was transferred to the study site, results were deemed unrealistic, with around 31% of forestland being flagged as having bark beetle disturbances for 2024. As such, the model was deemed to be not able to be transferred between locales, preventing processing of previous years. While large-scale temporal analysis was not practical, these results do tell us that past disturbances are likely able to be modeled throu"
doi:10.4095/220011,10.4095/220011,2003,,0,q6,q6:27:8.0,Coarse resolution satellite mapping of insect-induced tree defoliation and mortality,"Insect-induced tree defoliation and the resulting growth and mortality losses represent a significant disturbance in many forested regions. Most defoliation surveys are produced using conventional aerial sketch mapping techniques supplemented by field inspection. Digital airborne and fine resolution (&amp;amp;lt;font face=Symbol&amp;amp;gt;&amp;amp;#8804;&amp;amp;lt;/font&amp;amp;gt; 100m) satellite imagery has been frequently used, with mixed results, to assess both the extent and severity of defoliation [1-3]. Coarse resolution (~ 1-km) satellite imagery, with its greater frequency of observation and spatial coverage, could also prove useful for monitoring and mapping large-scale defoliation events. The purpose of this study was to assess the potential for using multi-temporal SPOT VEGETATION (VGT) imagery for monitoring insect defoliation and mapping subsequent tree mortality. VGT imagery was examined for a severe outbreak of hemlock looper (Lambdina fiscellaria) in Quebec, Canada, which defoliated and killed more than 400,000 ha of balsam fir in 1999 (Fig 1). Multi-temporal change metrics [4] based on reflectance and vegetation indices were derived using 10-day VGT composites from 1998-2000. A multiple logistic regression model developed using the 1998-2000 metrics could classify forest mortality within a 500-by-700 km study area with a commission error of 33-60 percent and omission error of 0-33 percent, depending on if the reference surveys were buffered by 2 km (Fig. 2"
doi:10.3390/f11050529,10.3390/f11050529,2020,Forests,25,q6,q6:29:7.33,"Using Satellite Imagery to Evaluate Bark Beetle-Caused Tree Mortality Reported in Aerial Surveys in a Mixed Conifer Forest in Northern Idaho, USA","Bark beetles cause significant tree mortality in western North America. The United States Forest Service coordinates annual insect and disease surveys (IDS) by observers in airplanes to map and quantify the tree mortality caused by beetles. The subjective nature of these surveys means that accuracy evaluation is important for characterizing uncertainty. Furthermore, the metric reported for quantifying tree mortality recently changed (2012–2018 depending in region) from killed trees per acre to percent tree mortality within damage polygons, posing challenges for linking older and newer records. Here we evaluated IDS severity estimates in a beetle-affected forest in northern Idaho, USA using fine-resolution satellite imagery, which permitted greater areal coverage than field data. We first used well-established methods to map beetle-caused tree mortality in two WorldView-2 (WV2) images with a high accuracy relative to field observations. Trees-per-acre measurements within collocated IDS polygons were then converted to percent mortality using three methods and evaluated with the WV2 maps. The overall accuracies for the three methods ranged from 35–38% (for methods that used five percent-mortality classes) and 49–56% (three classes). When IDS and WV2 estimates of mortality severity that were within ±15% of each other were considered accurate, overall accuracies were 71–78%. Within the aerial survey damage polygons, the total mortality area tended to be overestimated relative to W"
doi:10.5849/wjaf.12-010,10.5849/wjaf.12-010,2013,,19,q6,q6:2:15.3,Comparing Aerial Detection and Photo Interpretation for Conducting Forest Health Surveys,"Surveys to detect damage on forested lands occur annually across the United States. Historically, much of these data have been collected by observers in aircraft documenting visible damage using a technique known as aerial detection survey (ADS) or sketchmapping. ADS is an efficient method but produces coarse scale data. We used one meter natural color imagery to conduct a photo interpretation survey (PIS) to compare the resulting data with the annual ADS data. The study area consists of a portion of the Black Hills National Forest that is currently experiencing mountain pine beetle-induced conifer mortality. Ground plots were used to compare how accurately each survey method delineated forest damage and results indicate a statistically significant difference (alpha 0.05) between ADS and PIS and a trend toward no significant difference when a buffer is considered. Substantial differences in the average size of polygons, total number of polygons, and total area mapped were observed. Our results indicate that current estimates of mortality intensity in our study area are low and remedies should be investigated. Photo surveys over the Black Hills National Forest are less efficient but yield damage polygons with higher accuracy and with fewer errors of commission than traditional ADS."
doi:10.5558/tfc84900-6,10.5558/tfc84900-6,2008,,13,q6,q6:30:7.26,Linking survey detection accuracy with ability to mitigate populations of mountain pine beetle,"In 2007, the mountain pine beetle impacted an estimated 10.1 million hectares of pine forest in British Columbia, Canada. Surveys to detect the location, size, and impact of infestations are conducted from field, airborne, and satellite perspectives. Importantly, the differing survey approaches characterize the infestation over dissimilar spatial scales (i.e., trees, stands, landscapes), and with varying levels of detection accuracy. In this communication, we provide background for understanding differing survey approaches, the nature of the information generated, the resultant detection accuracies that may be expected, and the link between survey accuracy and the ability to mitigate a given mountain pine beetle infestation. A detection accuracy of 100% implies that all infested trees could be mitigated; however, no survey method achieves this level of detection accuracy, and therefore some residual infestation will persist, facilitating further population expansion if other environmental factors are conducive. Based upon this understanding, we model the number of years of mitigation effort required to maintain endemic beetle population levels, as a function of the survey approach used and the expected detection accuracy. Key words: mountain pine beetle, survey, detection, remote sensing, accuracy, mitigation, insect, Landsat, QuickBird, aerial-overview survey, heli-GPS"
